Date,Platform,Product_Category,Model_Name,Condition,Launch_Price_USD,Launch_Price_INR,Current_Price_USD,Current_Price_INR,Discount_Pct,Sale_Event,Stock_Status,Rating,Reviews_Count
2020-10-16,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,429.39,42886.43,-0.1,None,In Stock,4.8,168
2020-10-18,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,331.95,28468.19,22.6,None,In Stock,4.3,225
2020-10-18,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,360.84,30701.3,15.9,None,In Stock,3.8,184
2020-10-21,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,360.47,30502.87,16.0,None,In Stock,4.4,147
2020-10-22,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,437.28,43200.77,-1.9,None,In Stock,4.4,158
2020-10-23,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.4,42014.16,-1.0,None,In Stock,4.7,186
2020-10-23,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,599.55,58434.06,-0.1,None,Out of Stock,4.6,83
2020-10-23,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,794.53,78340.42,0.6,None,In Stock,4.4,87
2020-10-23,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.04,97853.88,0.5,None,In Stock,4.2,73
2020-10-24,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,421.78,40536.55,1.7000000000000002,None,In Stock,4.6,140
2020-10-24,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,429.4,42578.05,-0.1,None,Low Stock,4.3,168
2020-10-24,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,424.81,42357.77,1.0,None,Out of Stock,4.3,263
2020-10-24,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,591.99,57562.43,1.2,None,Out of Stock,4.4,95
2020-10-24,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1002.99,98268.29,-0.4,None,In Stock,4.3,27
2020-10-24,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1018.59,101731.95,-2.0,None,In Stock,4.7,69
2020-10-24,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.45,97646.38,-0.8999999999999999,None,Out of Stock,4.8,91
2020-10-25,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,336.55,28181.66,21.6,None,In Stock,4.2,199
2020-10-25,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,808.24,78521.55,-1.2,None,In Stock,4.2,41
2020-10-25,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,806.28,77725.7,-0.8999999999999999,None,In Stock,4.9,31
2020-10-25,Amazon,iPhone,iPhone 12 64GB,New,799,78302,799.67,79102.98,-0.1,None,In Stock,4.7,54
2020-10-26,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.26,41708.05,-1.0,None,In Stock,4.9,181
2020-10-26,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,506.91,42461.72,15.4,None,In Stock,4.0,26
2020-10-26,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,595.03,59012.48,0.7000000000000001,None,In Stock,4.9,101
2020-10-27,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.88,43070.96,-1.0999999999999999,None,In Stock,4.5,225
2020-10-27,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,605.15,59466.82,-1.0,None,In Stock,4.5,109
2020-10-27,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,979.42,94354.27,2.0,None,Out of Stock,4.3,72
2020-10-27,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1010.02,97930.53,-1.0999999999999999,None,In Stock,4.5,98
2020-10-28,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,426.23,41605.76,0.6,None,In Stock,4.5,156
2020-10-28,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,590.75,57350.69,1.4000000000000001,None,In Stock,4.6,110
2020-10-28,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,587.31,57601.81,2.0,None,In Stock,4.9,109
2020-10-28,Amazon,iPhone,iPhone 12 64GB,New,799,78302,803.69,79005.34,-0.6,None,In Stock,4.3,63
2020-10-28,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,809.06,78509.82,-1.3,None,In Stock,4.5,75
2020-10-28,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1009.63,97164.8,-1.0999999999999999,None,In Stock,4.4,85
2020-10-29,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,431.07,42574.97,-0.5,None,In Stock,4.2,244
2020-10-29,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1015.49,99558.75,-1.7000000000000002,None,In Stock,4.7,39
2020-10-29,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,981.21,95950.2,1.7999999999999998,None,Low Stock,4.3,40
2020-10-30,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,594.31,58603.69,0.8,None,In Stock,4.6,47
2020-10-30,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,422.34,35559.8,29.5,None,Low Stock,4.2,85
2020-10-30,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1014.52,99556.9,-1.6,None,In Stock,4.7,82
2020-10-30,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.58,99125.25,0.5,None,In Stock,4.8,73
2020-10-31,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,435.96,43342.18,-1.6,None,In Stock,4.8,136
2020-10-31,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.42,43069.56,-1.7000000000000002,None,Low Stock,4.8,253
2020-10-31,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,990.98,95954.0,0.8,None,Low Stock,4.7,92
2020-11-01,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,434.66,41913.7,-1.3,None,Low Stock,4.6,144
2020-11-01,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,347.06,29583.24,19.1,None,Low Stock,3.9,165
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,589.04,58512.67,1.7000000000000002,None,In Stock,4.6,124
2020-11-01,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.61,60678.47,-1.7999999999999998,None,In Stock,4.3,134
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,431.12,37356.8,28.000000000000004,None,In Stock,3.9,129
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,597.29,59289.69,0.3,None,Low Stock,4.8,71
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,483.88,41749.39,19.2,None,In Stock,4.3,73
2020-11-01,Amazon,iPhone,iPhone 12 64GB,New,799,78302,786.11,77947.66,1.6,None,In Stock,4.3,112
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,783.26,75362.3,2.0,None,In Stock,4.5,42
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,785.33,78248.3,1.7000000000000002,None,In Stock,4.6,56
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,799.58,79692.37,-0.1,None,In Stock,4.5,58
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,800.5,78332.06,-0.2,None,In Stock,4.7,68
2020-11-01,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1001.23,96756.78,-0.2,None,Low Stock,4.7,80
2020-11-02,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,437.17,42129.52,-1.9,None,In Stock,4.6,216
2020-11-02,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,598.7,58889.7,0.1,None,In Stock,4.5,101
2020-11-02,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1011.87,100153.57,-1.3,None,In Stock,4.3,139
2020-11-03,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,432.19,42102.63,-0.7000000000000001,None,In Stock,4.4,202
2020-11-03,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,421.23,41944.74,1.7999999999999998,None,In Stock,4.2,222
2020-11-03,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,297.95,24955.58,30.5,None,Out of Stock,4.4,146
2020-11-03,Amazon,iPhone,iPhone 12 64GB,New,799,78302,783.08,75610.67,2.0,None,In Stock,4.7,133
2020-11-03,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,991.92,98244.7,0.7000000000000001,None,In Stock,4.3,65
2020-11-03,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.06,98478.9,-0.8999999999999999,None,In Stock,4.8,72
2020-11-03,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.67,95865.1,0.4,None,In Stock,4.8,122
2020-11-03,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.15,99174.34,0.6,None,In Stock,4.7,56
2020-11-04,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,298.43,25302.32,30.4,None,Low Stock,4.2,197
2020-11-04,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,610.68,59320.53,-1.9,None,In Stock,4.6,80
2020-11-04,Amazon,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,654.7,56034.88,18.099999999999998,None,Out of Stock,4.0,119
2020-11-04,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1003.99,98799.98,-0.5,None,In Stock,4.9,82
2020-11-05,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,422.75,41641.87,1.5,None,In Stock,4.4,183
2020-11-05,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,328.85,28074.09,23.3,None,Out of Stock,4.2,187
2020-11-05,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,354.7,29595.22,17.299999999999997,None,In Stock,3.9,266
2020-11-05,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,431.5,42305.84,-0.6,None,Out of Stock,4.5,177
2020-11-05,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1015.53,100360.9,-1.7000000000000002,None,In Stock,4.5,46
2020-11-05,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1016.29,100195.35,-1.7000000000000002,None,In Stock,4.7,74
2020-11-05,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,794.78,68082.83,20.4,None,In Stock,4.1,105
2020-11-05,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,820.82,70938.67,17.8,None,In Stock,4.1,56
2020-11-06,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,420.47,40956.02,2.0,None,Out of Stock,4.8,199
2020-11-06,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,420.47,41835.0,2.0,None,In Stock,4.6,95
2020-11-06,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,601.99,59050.72,-0.5,None,In Stock,4.6,116
2020-11-06,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.02,95737.68,0.5,None,Low Stock,4.3,151
2020-11-06,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,827.54,70811.46,17.2,None,In Stock,3.9,128
2020-11-06,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,981.6,95226.66,1.7000000000000002,None,In Stock,4.4,64
2020-11-07,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,348.69,29713.09,18.7,None,In Stock,4.1,238
2020-11-07,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,606.04,59342.09,-1.2,None,In Stock,4.7,98
2020-11-07,Amazon,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,499.28,42537.26,16.6,None,In Stock,4.1,83
2020-11-07,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,602.85,59122.8,-0.6,None,Low Stock,4.2,102
2020-11-07,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1010.4,98460.61,-1.0999999999999999,None,In Stock,4.3,104
2020-11-07,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,999.18,99454.05,-0.0,None,In Stock,4.7,107
2020-11-08,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,588.56,57948.89,1.7000000000000002,None,In Stock,4.9,120
2020-11-08,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.51,59862.87,-1.7999999999999998,None,In Stock,4.6,171
2020-11-08,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,599.35,58404.77,-0.1,None,Out of Stock,4.2,101
2020-11-08,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,798.89,77616.2,0.0,None,In Stock,4.6,180
2020-11-08,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,799.64,78643.44,-0.1,None,In Stock,4.6,124
2020-11-08,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,756.91,63942.3,24.2,None,In Stock,4.4,104
2020-11-09,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,333.26,27939.12,22.3,None,Out of Stock,4.4,229
2020-11-09,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,605.76,59256.36,-1.0999999999999999,None,In Stock,4.3,156
2020-11-09,Amazon,iPhone,iPhone 12 64GB,New,799,78302,808.32,79868.97,-1.2,None,Out of Stock,4.4,132
2020-11-09,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,839.34,72637.38,16.0,None,In Stock,4.3,116
2020-11-10,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,803.71,79321.42,-0.6,None,Low Stock,4.8,136
2020-11-10,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,787.76,78647.34,1.4000000000000001,None,Low Stock,4.8,148
2020-11-10,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,813.97,68223.53,18.5,None,In Stock,4.3,160
2020-11-11,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,315.7,27157.88,26.400000000000002,None,In Stock,4.4,262
2020-11-11,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,598.46,59003.4,0.1,None,In Stock,4.8,108
2020-11-11,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1012.93,100728.33,-1.4000000000000001,None,In Stock,4.8,108
2020-11-12,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.86,42206.54,-1.0999999999999999,None,Out of Stock,4.5,315
2020-11-12,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,333.26,28075.49,22.3,None,In Stock,4.3,129
2020-11-12,Amazon,iPhone,iPhone 12 64GB,New,799,78302,810.96,80124.47,-1.5,None,In Stock,4.2,58
2020-11-12,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,793.57,78160.9,0.7000000000000001,None,In Stock,4.9,70
2020-11-12,Amazon,iPhone,iPhone 12 64GB,New,799,78302,811.19,80298.69,-1.5,None,Low Stock,4.8,110
2020-11-12,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,821.86,71060.62,17.7,None,In Stock,4.1,57
2020-11-12,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,797.26,67059.42,20.200000000000003,None,Low Stock,3.9,124
2020-11-12,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1014.67,100108.3,-1.6,None,In Stock,4.5,39
2020-11-13,Amazon,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,577.22,48516.42,27.800000000000004,None,In Stock,3.9,110
2020-11-13,Amazon,iPhone,iPhone 12 64GB,New,799,78302,791.2,78779.88,1.0,None,Low Stock,4.6,143
2020-11-13,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,992.66,96616.32,0.6,None,In Stock,4.6,106
2020-11-13,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,814.16,68733.65,18.5,None,In Stock,4.4,76
2020-11-13,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,724.54,62362.72,27.500000000000004,None,In Stock,3.8,125
2020-11-14,Amazon,iPhone,iPhone 12 64GB,New,799,78302,802.85,78948.65,-0.5,None,Low Stock,4.6,201
2020-11-14,Amazon,iPhone,iPhone 12 64GB,New,799,78302,786.79,76681.72,1.5,None,In Stock,4.8,111
2020-11-14,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,789.41,67998.41,21.0,None,In Stock,3.9,102
2020-11-15,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,318.8,26808.96,25.7,None,In Stock,4.4,339
2020-11-15,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,331.31,27820.42,22.8,None,Low Stock,4.4,244
2020-11-15,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,364.58,30932.57,15.0,None,Low Stock,4.3,219
2020-11-15,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,423.44,42145.08,1.3,None,In Stock,4.6,190
2020-11-15,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,596.02,57332.62,0.5,None,Out of Stock,4.3,99
2020-11-15,Amazon,iPhone,iPhone 12 64GB,New,799,78302,806.98,79556.8,-1.0,None,In Stock,4.6,200
2020-11-15,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,784.79,77700.73,1.7999999999999998,None,Out of Stock,4.4,159
2020-11-15,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,789.1,76310.86,1.2,None,In Stock,4.8,173
2020-11-15,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,995.03,97672.91,0.4,None,In Stock,4.7,89
2020-11-15,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,987.23,97153.76,1.2,None,In Stock,4.3,102
2020-11-16,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,422.7,41032.46,1.5,None,In Stock,4.4,223
2020-11-16,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,710.18,60071.22,28.9,None,In Stock,4.0,116
2020-11-17,Flipkart,Mac,MacBook Air M1 256GB,New,999,97902,1004.39,99738.16,-0.5,None,In Stock,4.3,93
2020-11-17,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.98,60915.58,-1.7999999999999998,None,In Stock,4.8,158
2020-11-17,Amazon,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,600.55,51730.17,24.8,None,Out of Stock,4.0,210
2020-11-18,Flipkart,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,97902,702.73,58837.07,29.7,None,Out of Stock,4.2,102
2020-11-18,Amazon,Mac,MacBook Air M1 256GB,New,999,97902,988.62,96165.89,1.0,None,In Stock,4.5,40
2020-11-18,Amazon,iPhone,iPhone 12 64GB,New,799,78302,797.26,77446.57,0.2,None,In Stock,4.4,130
2020-11-18,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,982.78,95120.73,1.6,None,In Stock,4.7,68
2020-11-18,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1007.26,99624.2,-0.8,None,In Stock,4.4,89
2020-11-18,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.54,97526.4,-1.0,None,In Stock,4.6,163
2020-11-18,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,805.29,67733.34,19.400000000000002,None,In Stock,3.8,142
2020-11-18,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,980.09,97595.42,1.9,None,In Stock,4.6,115
2020-11-19,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,444.11,38011.46,25.900000000000002,None,In Stock,4.0,50
2020-11-19,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,592.22,57755.38,1.0999999999999999,None,In Stock,4.3,152
2020-11-19,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,608.5,60146.78,-1.6,None,In Stock,4.5,85
2020-11-19,Amazon,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,660.1,56955.23,17.4,None,Out of Stock,4.5,102
2020-11-19,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.9,97036.9,0.5,None,In Stock,4.6,105
2020-11-20,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,367.62,35995.89,14.299999999999999,Black Friday,In Stock,4.5,175
2020-11-20,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,398.64,38605.09,7.1,Black Friday,In Stock,4.3,253
2020-11-20,Amazon,Mac,MacBook Air M1 256GB,New,999,97902,918.33,90904.71,8.1,Black Friday,Out of Stock,4.4,100
2020-11-20,Flipkart,Mac,MacBook Air M1 256GB,New,999,97902,846.15,81655.07,15.299999999999999,Black Friday,In Stock,4.6,45
2020-11-20,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,531.22,52940.95,11.3,Black Friday,In Stock,4.2,137
2020-11-20,Amazon,iPhone,iPhone 12 64GB,New,799,78302,655.23,63474.64,18.0,Black Friday,In Stock,4.2,83
2020-11-20,Flipkart,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,531.21,45139.87,33.5,Black Friday,In Stock,4.2,205
2020-11-21,Flipkart,Mac,MacBook Air M1 256GB,New,999,97902,787.86,78283.32,21.099999999999998,Black Friday,In Stock,4.9,88
2020-11-21,Amazon,Mac,MacBook Air M1 256GB,New,999,97902,901.52,89981.89,9.8,Black Friday,In Stock,4.5,56
2020-11-21,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,407.79,34513.02,31.900000000000002,Black Friday,Out of Stock,4.1,221
2020-11-21,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,516.94,49976.11,13.700000000000001,Black Friday,Out of Stock,4.5,189
2020-11-21,Amazon,iPhone,iPhone 12 64GB,New,799,78302,700.77,69063.14,12.3,Black Friday,In Stock,4.4,213
2020-11-21,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,682.46,67537.11,14.6,Black Friday,In Stock,4.6,154
2020-11-21,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,844.5,82076.11,15.5,Black Friday,In Stock,4.7,147
2020-11-22,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,381.97,36782.3,11.0,Black Friday,In Stock,4.4,139
2020-11-22,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,378.85,37189.28,11.700000000000001,Black Friday,In Stock,4.4,383
2020-11-22,Flipkart,Mac,MacBook Air M1 256GB,New,999,97902,894.7,87769.33,10.4,Black Friday,Low Stock,4.5,19
